,CIK,Ticker,FilingDate,FileName,SECFileName,DocTypes
1190,1066923,SPU,20160415,0001213900-16-012591.txt.text,0001213900-16-012591.txt,
1191,1069157,EWBC,20160610,0001069157-16-000138.txt.text,0001069157-16-000138.txt,
1192,1089511,ALSK,20160405,0001193125-16-530430.txt.text,0001193125-16-530430.txt,
1193,1089819,CNL,20160428,0001089819-16-000110.txt.text,0001089819-16-000110.txt,
1194,1092289,TAT,20160629,0001193125-16-636543.txt.text,0001193125-16-636543.txt,
1195,1092289,TAT,20160513,0001564590-16-019392.txt.text,0001564590-16-019392.txt,
1196,1092367,SCMR,20160407,0001193125-16-533927.txt.text,0001193125-16-533927.txt,
1197,1109354,BRKR,20160603,0001104659-16-125382.txt.text,0001104659-16-125382.txt,
1198,1133311,TZOO,20160622,0001133311-16-000076.txt.text,0001133311-16-000076.txt,
1199,1145197,PODD,20160617,0001157523-16-005911.txt.text,0001157523-16-005911.txt,
1200,1160308,ANX,20160405,0001564590-16-015900.txt.text,0001564590-16-015900.txt,
1201,1178711,TSPT,20160516,0001564590-16-019592.txt.text,0001564590-16-019592.txt,
1202,1203900,CEU,20160512,0001144204-16-101093.txt.text,0001144204-16-101093.txt,
1203,1211351,NWY,20160505,0001104659-16-118291.txt.text,0001104659-16-118291.txt,
1204,1273931,MGI,20160517,0001193125-16-593235.txt.text,0001193125-16-593235.txt,
1205,1288469,MXL,20160602,0001288469-16-000074.txt.text,0001288469-16-000074.txt,
1206,1310114,SREV,20160509,0001193125-16-584003.txt.text,0001193125-16-584003.txt,
1207,1316517,KNDI,20160413,0001062993-16-008902.txt.text,0001062993-16-008902.txt,
1208,1347452,WEST,20160404,0001347452-16-000104.txt.text,0001347452-16-000104.txt,
1209,1362468,ALGT,20160510,0001362468-16-000062.txt.text,0001362468-16-000062.txt,
1210,1365555,AFSI,20160404,0001365555-16-000250.txt.text,0001365555-16-000250.txt,
1211,1379606,GCC,20160412,0001571049-16-013839.txt.text,0001571049-16-013839.txt,
1212,1385544,ZINC,20160405,0001385544-16-000037.txt.text,0001385544-16-000037.txt,
1213,1402829,ORN,20160525,0001402829-16-000055.txt.text,0001402829-16-000055.txt,
1214,1403853,HEK,20160413,0001193125-16-540101.txt.text,0001193125-16-540101.txt,
1215,1474735,GNRC,20160422,0001437749-16-029871.txt.text,0001437749-16-029871.txt,
1216,319654,PBT,20160606,0001193125-16-614029.txt.text,0001193125-16-614029.txt,
1217,351817,SFY,20160614,0000351817-16-000071.txt.text,0000351817-16-000071.txt,
1218,45919,HHS,20160407,0001104659-16-110182.txt.text,0001104659-16-110182.txt,
1219,47111,HSY,20160427,0000047111-16-000100.txt.text,0000047111-16-000100.txt,
1220,47111,HSY,20160617,0000047111-16-000117.txt.text,0000047111-16-000117.txt,
1221,55242,KMT,20160623,0001193125-16-629885.txt.text,0001193125-16-629885.txt,
1222,55242,KMT,20160623,0001193125-16-629889.txt.text,0001193125-16-629889.txt,
1223,749647,CLSN,20160601,0001437749-16-033171.txt.text,0001437749-16-033171.txt,
1224,814453,NWL,20160415,0001193125-16-543111.txt.text,0001193125-16-543111.txt,
1225,821995,CBRX,20160615,0001193125-16-622631.txt.text,0001193125-16-622631.txt,
1226,88941,SMTC,20160415,0001104659-16-111856.txt.text,0001104659-16-111856.txt,
1227,894627,EGY,20160624,0000894627-16-000093.txt.text,0000894627-16-000093.txt,
1228,896841,AVID,20160404,0000896841-16-000155.txt.text,0000896841-16-000155.txt,
1229,1066923,SPU,20160923,0001213900-16-016986.txt.text,0001213900-16-016986.txt,
